,Objet,Model,Attaque,Intensité,Score,Difference absolue,MSE,Coef de corrélation,SSIM
28,goldfish,VGG16,PGD,0.1,1,177.56649261267006,7.68825069090136,0.9801719043041909,0.7574614952486439
29,goldfish,VGG16,PGD,0.3,0,180.2404934630102,14.106704400510203,0.8771318408509393,0.43192552291048736
30,goldfish,VGG16,PGD,0.5,0,175.3522401147959,16.460133662840136,0.7498425930603906,0.2953538171773896
31,goldfish,VGG16,PGD,1.0,0,163.40514057185374,19.12000425170068,0.49951263112371375,0.15857904594458105
32,gondola,VGG16,PGD,0.001,993550,6.555046237244898,46.86312181122449,0.9999796936585439,0.9928415254936103
33,gondola,VGG16,PGD,0.01,885966,6.774294483418367,49.86020541028912,0.9997276371465376,0.987413789154338
34,gondola,VGG16,PGD,0.03,75,6.864470397534014,56.78863068664966,0.9980788208169373,0.9589391186435553
35,gondola,VGG16,PGD,0.0,994417,6.410946800595238,44.90072943239796,0.9999816024753031,0.9931839995230222
36,gondola,VGG16,PGD,0.1,0,80.12618914753402,54.95596832482993,0.9841078523033698,0.8284704576166471
37,gondola,VGG16,PGD,0.3,0,116.21789965986395,52.746990593112244,0.8974522219439303,0.5378580819503631
38,gondola,VGG16,PGD,0.5,0,125.52335778061224,51.75023915816327,0.7823494747834985,0.38818870156020746
39,hammer,VGG16,PGD,0.001,984097,1.9408415710034013,10.794118037840136,0.9999502456758771,0.9963675780472118
40,hammer,VGG16,PGD,0.01,967006,2.8945910395408165,15.439034598214286,0.9995798659966247,0.9836504269842893
41,hammer,VGG16,PGD,0.03,73,5.463156356292517,40.43340773809524,0.9968028561585953,0.909233276431143
42,hammer,VGG16,PGD,0.0,982317,1.3035581420068028,9.927814094387756,0.9999871591104369,0.9985292216773263
43,hammer,VGG16,PGD,0.1,0,13.51044988307823,91.05578364158163,0.9751071482461472,0.6766206376739389
44,hammer,VGG16,PGD,0.3,0,39.246020673894556,99.00389296343538,0.8502808911078332,0.3555906502364344
45,hammer,VGG16,PGD,0.5,0,52.16157791241496,103.32144850127551,0.7067131513513325,0.2490515965970649
46,iron,VGG16,PGD,0.001,847922,1.0732222576530612,1.7633131377551021,0.9999470286826061,0.9979154521222223
47,iron,VGG16,PGD,0.01,584149,2.0276692708333335,5.861268335459184,0.9995465384367473,0.9866656391499501
48,iron,VGG16,PGD,0.03,0,4.171270461309524,26.235511001275512,0.9967507147197624,0.922344646479348
49,iron,VGG16,PGD,0.0,859057,0.5192389455782312,1.1419935161564625,0.9999744714437877,0.9997103589342612
50,iron,VGG16,PGD,0.1,0,26.035196109693878,74.99443957270408,0.974454293105018,0.7078384750175526
51,iron,VGG16,PGD,0.3,0,42.017897002551024,98.76775749362245,0.8464326534928188,0.36707592239279896
52,iron,VGG16,PGD,0.5,0,53.97397161989796,98.47400483630952,0.6980141092488067,0.240832448126864
53,soldiers,VGG16,PGD,0.001,419326,74.92222045068027,0.6754291560374149,0.9999741335545067,0.9992875318710509
54,soldiers,VGG16,PGD,0.01,436946,107.76077540391157,0.7114888924319728,0.999666123962881,0.9960520972464171
55,soldiers,VGG16,PGD,0.03,107754,131.3933487457483,2.8331738945578233,0.9976150938568217,0.9778760421031697
56,soldiers,VGG16,PGD,0.0,420792,75.22355309311224,0.7768189306972789,0.9999778313890683,0.9993193909563185
57,soldiers,VGG16,PGD,0.1,8,140.50974569515307,24.39775324192177,0.9801861625063604,0.8821110081695003
58,soldiers,VGG16,PGD,0.3,0,141.13541002338437,37.91181707057823,0.878547011049319,0.6424917329861106
59,soldiers,VGG16,PGD,0.5,0,143.8634805484694,38.60553518282313,0.7519895321537673,0.488185515972898
