,level_0,Objet,Model,Attaque,Intensité,Score,Difference absolue,MSE,Coef de corrélation,SSIM
225,900,goldfish,ResNet152V2,FGSM,0.06,-1,55.438117825255105,61.205496651785715,0.08222099815187237,0.2567633140672122
226,904,goldfish,ResNet152V2,FGSM,0.0,-1,55.0309909119898,61.451829559948976,0.0821121386953508,0.2568299136451748
227,908,goldfish,ResNet152V2,FGSM,0.1,-1,59.99350286989796,59.28423947704081,0.08720200958904308,0.26179277687938257
228,912,goldfish,ResNet152V2,FGSM,0.3,-1,60.715162627551024,59.30757732780612,0.08944428763219225,0.2596064737131601
229,916,goldfish,ResNet152V2,FGSM,0.6,-1,72.31052694515306,54.44672751913265,0.09386604509844938,0.2649744058167434
230,920,goldfish,ResNet152V2,FGSM,1.0,-1,56.355787627551024,60.62384406887755,0.09174002331963757,0.25549454997500903
231,924,goldfish,ResNet152V2,PGD,0.001,-1,128.32069116709184,30.2564772002551,0.31515048217819075,0.3387590328799885
232,928,goldfish,ResNet152V2,PGD,0.003,-1,144.5303730867347,24.884944993622447,0.32344755366812905,0.31256783922112935
233,932,goldfish,ResNet152V2,PGD,0.006,-1,138.0318678252551,27.740035076530614,0.3006274210080698,0.3123627280182134
234,936,goldfish,ResNet152V2,PGD,0.01,-1,134.44929846938774,28.776865433673468,0.27240763589140515,0.31453452596122267
235,940,goldfish,ResNet152V2,PGD,0.03,-1,128.22506776147958,31.387775031887756,0.26434028594767706,0.3102098666224837
236,944,goldfish,ResNet152V2,PGD,0.06,-1,95.74003507653062,42.32856345663265,0.2465408167589503,0.3209306662932253
237,948,goldfish,ResNet152V2,PGD,0.0,-1,136.27248086734693,27.311065051020407,0.3680249065249587,0.34843325134764397
238,952,goldfish,ResNet152V2,PGD,0.1,-1,149.6682278380102,25.190908003826532,0.20737814499723392,0.22634474958642697
239,956,goldfish,ResNet152V2,PGD,0.3,-1,95.65068957270408,45.511300223214285,0.08602858798379928,0.2841143901788297
240,960,goldfish,ResNet152V2,PGD,0.6,-1,118.53457828443878,37.34428810586735,0.10891572875157382,0.25583980103800075
241,964,goldfish,ResNet152V2,PGD,1.0,-1,149.97102200255102,26.863101881377553,0.07222033717543833,0.19134621773849117
242,968,goldfish,VGG16,FGSM,0.001,-1,76.00904815051021,50.7102200255102,0.049251190046223935,0.2768607882311537
243,972,goldfish,VGG16,FGSM,0.003,-1,75.9340521364796,50.786690848214285,0.04937214812814836,0.2768370449373869
244,976,goldfish,VGG16,FGSM,0.006,-1,76.18763950892857,50.69272161989796,0.04916539175942105,0.27754755275891524
245,980,goldfish,VGG16,FGSM,0.01,-1,76.46410634566327,50.58559869260204,0.049123740630487495,0.27797840961782666
246,984,goldfish,VGG16,FGSM,0.03,-1,76.42898995535714,50.571308992346935,0.0491375551328779,0.27766870625170165
247,988,goldfish,VGG16,FGSM,0.06,-1,75.87932477678571,50.76923230229592,0.04873876202287826,0.2768850014355198
248,992,goldfish,VGG16,FGSM,0.0,-1,75.97847576530613,50.707928093112244,0.04879709114714204,0.27682971297320125
249,996,goldfish,VGG16,FGSM,0.1,-1,75.6299824617347,51.045679209183675,0.0489002701907858,0.2768246152857496
250,1000,goldfish,VGG16,FGSM,0.3,-1,76.13185586734694,50.439373405612244,0.049992155680508035,0.2769598573832916
251,1004,goldfish,VGG16,FGSM,0.6,-1,79.34681919642857,49.490154655612244,0.04995750839741278,0.2762586193520474
252,1008,goldfish,VGG16,FGSM,1.0,-1,77.45561623086735,50.27969547193877,0.04825608859332145,0.2758180238926471
253,1012,goldfish,VGG16,PGD,0.001,-1,104.50775271045919,41.880978954081634,0.07117615416559375,0.30334697009653305
254,1016,goldfish,VGG16,PGD,0.003,-1,95.85664461096938,45.18451052295919,0.09008470638575652,0.3147981613297925
255,1020,goldfish,VGG16,PGD,0.006,-1,84.76797672193878,49.57230548469388,0.054335071020866,0.3111517858107866
256,1024,goldfish,VGG16,PGD,0.01,-1,96.90971779336735,44.74946189413265,0.08493102406971939,0.31211050957805914
257,1028,goldfish,VGG16,PGD,0.03,-1,104.86037149234694,40.3264309630102,0.2193841685534676,0.3394673675379002
258,1032,goldfish,VGG16,PGD,0.06,-1,119.42546237244898,36.20639349489796,0.14215622631217453,0.292573656645903
259,1036,goldfish,VGG16,PGD,0.0,-1,97.95473931760205,44.42787388392857,0.11731885177395952,0.324049439484168
260,1040,goldfish,VGG16,PGD,0.1,-1,134.15764508928572,32.488301179846935,0.08900290010313006,0.2419513684338498
261,1044,goldfish,VGG16,PGD,0.3,-1,166.97179926658163,20.505281409438776,0.13321132853567275,0.17260205922008
262,1048,goldfish,VGG16,PGD,0.6,-1,165.95535714285714,21.60544882015306,0.030817303103666486,0.1568200509664507
263,1052,goldfish,VGG16,PGD,1.0,-1,171.8840481505102,18.555404974489797,0.10208856127835857,0.16270698489737392
264,1056,gondola,MobileNetV2,FGSM,0.001,-1,103.05379065688776,42.43181999362245,-0.01569589143242194,0.24272444728648063
265,1060,gondola,MobileNetV2,FGSM,0.003,-1,102.9892578125,42.483318718112244,-0.015747141166840783,0.24265694363845802
266,1064,gondola,MobileNetV2,FGSM,0.006,-1,101.62358498086735,43.031269929846935,-0.01565710801683242,0.24548717344408866
267,1068,gondola,MobileNetV2,FGSM,0.01,-1,103.00649713010205,42.62290736607143,-0.0156168675986865,0.24277559558517392
268,1072,gondola,MobileNetV2,FGSM,0.03,-1,101.61746651785714,43.069256218112244,-0.015554118093607204,0.24588069265094598
269,1076,gondola,MobileNetV2,FGSM,0.06,-1,101.62250876913265,42.93851642219388,-0.016082452972036775,0.2456419454000256
270,1080,gondola,MobileNetV2,FGSM,0.0,-1,103.04703443877551,42.46835140306123,-0.015649212998375774,0.2427463258161548
271,1084,gondola,MobileNetV2,FGSM,0.1,-1,102.22927295918367,42.73662707270408,-0.01585758852508436,0.24605794094561093
272,1088,gondola,MobileNetV2,FGSM,0.3,-1,102.35971380739795,42.93032525510204,-0.015206175803297726,0.24584570850298143
273,1092,gondola,MobileNetV2,FGSM,0.6,-1,103.19062898596938,42.46924824617347,-0.014385383339545643,0.24474493645857637
274,1096,gondola,MobileNetV2,FGSM,1.0,-1,130.1086973852041,33.372767857142854,-0.012971550831439003,0.18297111875765915
275,1100,gondola,MobileNetV2,PGD,0.001,-1,146.85255899234693,22.938058035714285,0.38955073044142996,0.3554741410234796
276,1104,gondola,MobileNetV2,PGD,0.003,-1,121.82085060586735,30.779396524234695,0.3765398939880508,0.40441252355595353
277,1108,gondola,MobileNetV2,PGD,0.006,-1,155.2916334502551,20.917091836734695,0.34995122520354194,0.30930116693269144
278,1112,gondola,MobileNetV2,PGD,0.01,-1,163.3283242984694,18.585120376275512,0.3458986603472023,0.26787454148970113
279,1116,gondola,MobileNetV2,PGD,0.03,-1,162.67000159438774,19.144591039540817,0.2905571217851744,0.25502351534654777
280,1120,gondola,MobileNetV2,PGD,0.06,-1,141.05855389030611,26.7913743622449,0.1859183283616519,0.2853820213402427
281,1124,gondola,MobileNetV2,PGD,0.0,-1,148.49695073341837,22.56640625,0.40272180191296447,0.34757182357378325
282,1128,gondola,MobileNetV2,PGD,0.1,-1,138.11144770408163,27.461017219387756,0.23799405494403422,0.2786063476698818
283,1132,gondola,MobileNetV2,PGD,0.3,-1,126.76566485969387,32.741569674744895,0.08937869418279248,0.27400671601272886
284,1136,gondola,MobileNetV2,PGD,0.6,-1,141.24940210459184,27.563317123724488,0.1025537726496592,0.23583127367421647
285,1140,gondola,MobileNetV2,PGD,1.0,-1,97.68777901785714,41.79653619260204,0.07527350542179131,0.3095284613905707
286,1144,gondola,ResNet152V2,FGSM,0.001,-1,120.1005859375,29.53904257015306,0.14674666039618078,0.3111717632575137
287,1148,gondola,ResNet152V2,FGSM,0.003,-1,119.35835857780613,29.652443399234695,0.14636050955330906,0.31250193526090975
288,1152,gondola,ResNet152V2,FGSM,0.006,-1,118.38420758928571,29.993104272959183,0.14881474221438565,0.31487580893444717
289,1156,gondola,ResNet152V2,FGSM,0.01,-1,117.66659359056122,30.194874043367346,0.149199810368587,0.31630124810012417
290,1160,gondola,ResNet152V2,FGSM,0.03,-1,116.45075334821429,30.576311383928573,0.15179401313534896,0.3188438689182805
291,1164,gondola,ResNet152V2,FGSM,0.06,-1,112.57256457270408,31.659598214285715,0.15179931459717994,0.32580403086996645
292,1168,gondola,ResNet152V2,FGSM,0.0,-1,120.41922433035714,29.390565210459183,0.1470458878780939,0.3108190140995771
293,1172,gondola,ResNet152V2,FGSM,0.1,-1,115.26981026785714,30.881656568877553,0.15298629209428471,0.31969826067452406
294,1176,gondola,ResNet152V2,FGSM,0.3,-1,106.60664461096938,33.101283482142854,0.1433650211658603,0.3338323977483398
295,1180,gondola,ResNet152V2,FGSM,0.6,-1,106.94893973214286,33.37655452806123,0.12999371027992412,0.32769005539049734
296,1184,gondola,ResNet152V2,FGSM,1.0,-1,98.26833545918367,36.21484375,0.1253096845227076,0.33716454023102266
297,1188,gondola,ResNet152V2,PGD,0.001,-1,154.52987484056123,18.980369100765305,0.4272802194369759,0.40200542945659445
298,1192,gondola,ResNet152V2,PGD,0.003,-1,164.86465640943877,16.758729272959183,0.3419298719514019,0.34711799831364626
299,1196,gondola,ResNet152V2,PGD,0.006,-1,146.64096380739795,21.861866230867346,0.3045309499561383,0.3871003528858081
300,1200,gondola,ResNet152V2,PGD,0.01,-1,135.58924585459184,24.30271444515306,0.31641927624211197,0.4219807106454179
301,1204,gondola,ResNet152V2,PGD,0.03,-1,139.71629862882654,23.868981186224488,0.30499816692294207,0.3790648734880022
